,after_detokenized
672,bukti ikn bukan proyekan cacing kokom tp neom uaesaudi
673,ikn di paksakan utk ambisinya sbg legecy dy lengser tp jln allah tak mengizinkan jln licik nya yg jadi masyarakat kalimantan tanah mereka habis jg kehidupan nya semakin sussh
674,raja colomadu selesei ikn selesei ikn jadi new hambalang
675,ini jaehyun kalo ke ikn juga tetep ganteng kali ya
676,menag berharap masjid ikn dapat digunakan salat ied tahun depan
677,ikn gas poll gitu di bilang mangkrak lah pogram si abah yang beneran mangkrak rumah dp dengan sales pandji malah purapura buta kayaknya mereka menyerang ikn buat tutupi rumah dp yang sekarang masih aja malah jd kasus
678,bodoh kompensasi apa di ikn dan psn pik itu semua murni investasi swasta dgn total rencana biaya triliun selama thn
679,menteri agama nasaruddin umar menyebutkan masjid negara di ibu kota nusantara ikn disiapkan menjadi masjid negara kebanggaan masyarakat indonesia
680,babeiyh ya jangankan ikn samarinda aja yg jelas ibu kota kaltim aja air yg ngalir dari pdam aja masih kotor banyak ampas pasir gak heranlahh ikn airnya kaya gitu ato makin parah
681,konten youtube seperti masjid istiqlal masjid negara ikn akan punya imam besar focus masjidnegara news text
682,kalo ikn sampa gagal atau ga sukses benerbener merugikan satu negara ga pd takut dosa apa ya
683,bos otorita ajukan dana tambahan rp triliun untuk ikn di lewat keuangan news
684,soal investasi ikn aguan kami mesti menjaga wajahpresiden jokowidodopenipu jokowidodopenipu
685,bukti pembohongan publik terbesar dari jokowi yang merugikan negara nyaris seratus triliun apbn ke ikn pada hal janjinya gak perlu pakai apbn kapan jokowi ditangkap rame sama rakyat
686,please ayooo ujan yg deras panas bgt balikpapan dipawang gara ikn
687,gaspol otorita ikn akan luncurkan lima groundbreaking baru
688,kerja tiap hari sampe malem gada libur lah artinya ikn di gaspoollllll dunk bukan mangkrak kalau mangkrak itu yah kerja libur mulu setiap hari kayak si abah yang ngangur tahun mantap emang pak prabowo gaspoll berkelanjutan ikn sesuai janjinya
689,tanpa aguan bicara pun orang sudah tahu bahwa presiden jokowi bohongnya pd rakyat sdh kelewatan tak ada hal apapun pd jokowi selama jd presiden yg tdk memuat kebohongan proyek ikn itu sendiri adalah proyek pembohongan publik yg paling banal
690,penasaran nasib bapakbapak yang kutemui di trans dewata dan mereka flexing soal project di ikn saat mereka tahu aku adalah orang kalimantan
691,karimasoyou bapak gw kerja di ikn pulangpulang lansung batuk menahun karena bulanan batuknya enggak sembuh mohon doanya sekarang lagi dirumah rawat jalan kerja disana keras banget kata bapak hampir jam gk ada istirahatnya
692,sudahlah pak prabowo gak ada perlunya ikn itu dilanjutkan cuma buang uang boros anggaran tidak membawa kesejahteraan rakyat dan tak ada pentingnya bagi rakyat bapak jgn mau jadi presiden pelengkap keculasan mulyono
693,kirain ikn
694,investor minas investasi di ikn diantaranya serius yg pernah di katakan jokowi dalam bentuk gaib
695,jokowi penipu ulung menurut aguan ia dan para taipan tak bisa menolak permintaan jokowi agar menanamkan uangnya di ikn klaim pemerintah bhw ratusan investor telah membenamkan uang di ikn hanya pepesan kosong tempo desember jokowidodopenipu jokowidodopenipu
696,karimasoyou loh yg istana aja begini apalg bangunan ikn yg lain
697,dulu sempet skeptis sama job ikn kalau udah lulus nanti itungannya nggak bagus rawan mangkrak kalau tibatiba dicancel secara kebijakan politik takut kalau misal mangkrak beneran dan ketahan di sana gw harus ngapain coba guess kalimantan job is good but not for ikn
698,semua orang tau kalau di ikn untuk saat ini bukab tempat investasi yg menarik kecuali para bingot jkw wae yg teriak dimedsos seolah olah ikn tempat yg menarik untuk invest
699,dia nanti dikubur di ikn pake ai
700,ikn proyek ambisiun jokowi yang terancam mangkrak
701,kementerian pu gelar tender proyek pembangunan rusun ikn senilai rp miliar
702,pengakuan aguan bukti ikn omong kosong besar
703,jadi investor lokal yang masuk ke ikn karena dipaksa mulyono supaya investor asing mau melirik ke ikn rp triliun hanya untuk buat tempat wisata ditengah hutan
704,ikn apa kabar ikn
705,pengakuan aguan bukti ikn omong kosong besar
706,ngerii klo pada kebuka aguan bicara ini nantinya akan berkaitan dengan vt ini prekognision semoga indo selalu mandali goesmuezz prekognision prekognisi indigoprekognision indigoprekognisi fyp foryou rakyatmelihat ikn indonesia
707,masih ga abis pikir hgu di ikn diobral sampe tahun sih bener kek dijajah lagi anj
708,acuan akar rumput pembangunan ikn
709,makin jelas bhw ikn adalah ambisi pribadi jokowi dan selalu berbohong bhw banyak investor yg tertarik
710,jokowi ditelanjangi taipan aguan dia buka bukaan perihal kebohongan ikn nah beranikah prabowo memenjarakannya
711,kalau dana sudah cair ya ginicuma mereka yg tahu maksud n annya koarkeknya kalau kelompok sakit hati n pecatan refli h csroy tifa n asegaf lom muncul mungkin lagi nunggu orang ini dah cair makanya nyasar ke km ijazah pik n ikn bahkan jan ethes dibawa
712,gempatempo bongkar jokowi bohong soal ikn aguan bisa dipercaya
713,aku pernah ketemu org random waktu naik travel ke solo dia curhat banyak bgt soal ikn aku gatau dia kerja di bagian apa but let me spill lil bit of the tea
714,berharap bgt para petinggi dan pemerintah bener allah adili seadilnya di akhirat nanti seberapa byk org yg rugi dari buat ikn dan skrg gada gunanya
715,destinasi studi trip sma tahun candi hambalang candi ikn petilasan food estate
716,coy jangan sedih yah kan gue lagi di krabi thailand pas ngobrol sm bule jerman yg pertama dia tanya adalah gimana tanggapan gue sm ikn buseeeet malu bener mana doi bilang so many expenses for one guys ego
717,aguan mulai berani bongkar bongkaran soal investasi ikn jokowi sudah dianggap tak punya pengaruh
718,dah lama ga denger ikn
719,katanya investor asing antri untuk investasi di ikn antri dimana
720,warga nkri dosa apa ya kok punya presiden boong terus menerus dari esemka sampai ikn
721,para taipan akan membangun mal pusat penelitian dan infrastruktur di ibu kota nusantara ikn di penajam paser utara kalimantan timur presiden jokowi meminta mereka turun ke ikn setelah tak ada investor luar negeri yang tertarik tempoplus tempo ikn aguan taipan
722,kannn maju mundur gw mau kerja cpns di ikn
723,ikn terlupakan well
724,apakah ikn akan menjadi
725,berarti ikn berkelanjutan makin kuat aroma periode
726,kantor gue ditawarin proyek ikn deadline setelah di breakdown paling cepet bulan mereka maunya bulan orang bodoh emg suka lawak
727,kalo perihal ikn masih percaya sama aibayu
728,tahniah encik rozi bin muhammad nor tenaga pengajar jurusan seni kraf batik ikn atas kemenangan hadiah istimewa dan saguhati dalam pertandingan reka bentuk batik lestari anjuran kerjasama suruhanjaya sekuriti malaysia dan kumpulan mycreative ventures institutkrafnegara
729,wamenpan rb beri jawaban soal kepastian asn bakal pindah ke ikn
730,tahniah encik amir harith bin mat kasim alumni ikn jurusan seni kraf batik atas kemenangan saguhati dalam pertandingan reka bentuk batik lestari anjuran kerjasama suruhanjaya sekuriti malaysia dan kumpulan mycreative ventures institutkrafnegara jommasukikn taatsetia
731,ibukota jadi pindah ke ikn gak
732,karimasoyou gue denger wawancara sama pak nyoman nuarta beliau cerita bangun gedung ikn beliau curhat kalo hujan karena panduan keselamatan kerja gabisa kerja pekerja nunggu sampe jam dini hari baru bisa kerja akhirnya pake pawang hujan sama bmkg buat stop hujan terus kerja nonstop
733,lucunya pernah nemu tiktok mas mas sipil kerja di ikn trus tiap ada yg komen ikn proyek gagal dsb lansung dia defensif belain ikn kocak bgt dah
734,jadi pengen cepat balek ke kalimantan kepo sama ikn sekarang gmna bentukannya
735,satu persatu borok jokowi keluar sekarang aguan bicara tentang ikn kemarin dosen ugm yg dibilang pembimbing skripsi jkw mengaku tak kenal jika pak prabowo tak melindungi kasus hukum tak akan bisa menyelamatkannya
736,para akun pembenci mulyono sedang kebakaran jenggot dengan diubahnya status dki jadi dkj merekq berharap presiden menghancurkan ikn tapi yg terjadi malah sebaliknya ocehan mereka di sosmed ibarat lalat mati sekali tepuk
737,dan akhirnya indonesia pun tidak lagi punya ibukota ikn bukan ibukota karna pembangunan nya mangkrak jakarta pun telah berubah hanya menjadi sebuah daerah yg khusus seperti daerah lainnya apakah indonesia benar akan bubar nanti
738,ikn mangkrak
739,karimasoyou orang ini pada kemana yah pernah balik lagi gak ke ikn mereka
740,makin terbuka sepertinya makin sulit dibantah bhw pemberian status psn oleh jokowi kepada swasta diberbagai tempat adalah kompensasi invesatasi di ikn
741,kata aguan tentang ikn
742,kata sampeyan gibrantweet sudah banyak investor yang masuk di ikn ternyata yang masuk hanya pepesan kosong
743,budibukanintel ngapain build ikn kalo bisa build pik ampe part
744,dukung ikn nusantara
745,dukung ikn nusantara
746,jokowi adalah orang yang harus bertanggung jwb klo suatu saat ikn sampai mangkrak sudah ngabisin puluhan triliun uang rakyat
747,investor ikn hanyalah pepesan kosong halo jokowi mendingan pepes jamur pepes teri masih ada isinya
748,matanetizen ahmadbellamy anakkolong anakogi antoniuscdn bambangmulyonoo cintada cakkhum jhonsitorus humorjontampan marbotudien nanem duit di ikn balas budi nya psn di pik udah kebaca lah mau belok kemana ini negara kami hong bukan negara lo udah di kasih laut masih minta daratan pula
749,setelah dipecat dari pdip setelah aguan nyanyi soal dipaksa dukung ikn setelah penetapan psn pik dinyatakan ilegal siapa lagi yang diharapkan akan melindungi jokoei kalau bukan presiden prabowo batas antara penjara dan kulit punggung jokoei saat ini cuma disekat oleh badan
750,pls ikn
751,dukung ikn nusantara
752,aguan sembilan naga bongkar wajah burik mulyono yang memaksa mereka investasi di ikn mulyonobapaknefufufafa
753,sorry argumen anda basi udah dibantah oleh bnyk ahli dan terbantah oleh realitas proyek ikn udah pernah ke ikn blum kalo blum teorinya disimpan dulu
754,ikn tetep jalan bisa cek di yt yah meskipun proyek ikut bumn ya gitu semua juga tau masalah tagihannyatemen juga baru sebulan lalu balik ke sana lagi meskipun gaji sempet telat minggu
755,fwbborneo info guys hotel di ikn udah buka apa belum ya pen book deh kalo bisa
756,kmren sempet ikut seleksi di salah satu lembaga pemerinthan amp penempatannya ikn tinggal mcu akhrnya g diterusin krn dipikir lagi kayak g yakin sama ikn nya
757,dalam upaya mendukung pembangunan ikn direktorat kepolisian peraitan dan udara polda kaltim gencar melaksanakan patroli perairan
758,aguan bicara tipuan jokowi tentang investor ikn akhirnya terbongkar juga dr orang dalem hentikanikn batalkanpsnpik
759,bagaimana kabar ikn
760,jokowi penipu ulung menurut aguan ia dan para taipan tak bisa menolak permintaan jokowi agar menanamkan uangnya di ikn klaim pemerintah bahwa ratusan investor telah membenamkan uang di ikn hanya pepesan kosong tempo jokowidodopenipu jokowidodopenipu
761,pak menteri desa yandrisusanto melakukan kunjungan kerja ke rumah cokelat di ikn kemendespdtt tppkemendes
762,ikn apa kabar yaa
763,otorita ikn
764,bismillah ikn
765,jadi ingat pas lewat ikn ada baliho gede dalam bahasa mandarin sayangnya ga sempet moto
766,makin ramai ikn bangunan mulai jadi beneran kota masa depan stylenya
767,ngga ada ikn damn
768,ikn belum ditempati jakarta bukan ibukota lalu dimana ibukota nkri sekarang
769,halo salam kenal menurut kamu apa urgensinya ikn dibangun
770,dhimasairlangg aguan udah kluar miliar buat bangun hotel bintang di ikn biaya nginap semalam juta sekarang kosong gak ada tamu
771,emak baru dari ikn dan kutanyain responnya masih jalan kok tapi embuh nsjsisjsjdjsjdjdidbenekdndjd
772,masjid negara ikn nusantara
773,keren dsm ikn
774,megaproyek ikn yang diwariskan jokowi ke prabowo sudah merampas ruang hidup dan tanah dan kebun warga serta menghancurkan hutan tersisa di kalimantan menjungkirbalikkan kehidupan warga setempat dan masyarakat adat nelayan dan petani kecil adilijokowi
775,ngapa ga kangen ikn yang dia banggakan
776,kok gak di ikn sih pacc
777,membongkar warisan ugalugalan pembangunan ikn jokowi dalam lima babak ikn jokowi yaakubakaldibaca
778,biar ga dikatain mangkrak ntar thn kan bisa bilang lagi thn kayak yg kmrn akhirnya ga mau ke ikn
779,dijual aja kalau gitu mungkin bisa buat nutupin bangun ikn bayar program makan gratis atau lunasin utang negara
780,charles besok mau muterin ikn dulu baru start
781,bangunlah ikn danjalan tol untuk mendapatkan free jalan desa biarkan terbengkalai agar rakyat ngak paham dengan sistem pemerintahan
782,ni kalo di ikn kita susah mau bikin ginian ges
783,sah ikn batal jadi ibukota gedung dprmpr yang sdh jadi sebagian dilelang januari siapa mau beli gedung kosong tak berpenghuni
784,semakin menyala ikn pantauan terkini proyek exit tol bandara internasio lewat youtube
785,jokowi prabowo awokawokawok sngkain jadi sekjen pbb ga tauny jadi jurkam pilkada sangkain tinggal di ikn yg selalu dibanggain ga taunya tinggal di sologoblok kata miftah
786,woy jokowi monyong ikn lu ceh dong kampret
787,biasa ke ikn ikut mobil kantor ditanyain cara kunjungan untuk yg umum aku gatau
788,pco sebut status masjid negara milik istiqlal bakal beralih ke masjid di ikn
789,masjid negara di ikn yang gantikan istiqlal siap tampung ribuan jamaah salat idul fitri
790,prabowo hentikan anggaran ikn rocky gerung bukti beban apbn kian berat
791,mdyasmara kita akan saksikan keputusan uu dkj yg ditandatangani prabowo ini tepat atau blunder besar dlm sejarah indonesia ikn belum rampung dibangun selesai dibangun entah kapan masih ada migrasi kl lembaga tinggi negara birokrasi amp sdm ke ikn prbw sdh dijebak jkw
792,ikn when
793,semoga ada penambahan nasamsii sesuai dengan kajian berikut untuk ikn dan menambah satrudal pertahanan dki
794,progres tol ikn dengan terowongan perlintasan satwa hingga masjid negara yang bisa dipakai salat idul fitri okezone economy
795,wkwkwkwmwkwwkwkwkwkwkwkwwkwkk opo ikn ae bwangkebun sayur area aman bwang
796,the power of katanya mau ke ikn alhamdulillah bisa sampai sejauh ini
797,bct tsamara kek mau pindah ikn aja lu
798,kode ikn bakal mangkrak kek wisma atlet hambalang peninggalan pepo
799,mana skrg mo di ikn ckckck wasalam aj kta gw mah
800,menteri pu sebut prabowo akan mulai berkantor di ikn agustus
801,ikn tentu urusan pemerintah pusat kalo yg di mamuju itunurusan bupati dong serta kadis pupr setempat
802,masjid istiqlal di jakarta akan digantikan oleh masjid negara yang sedang dibangun di ibu kota nusantara ikn kalimantan timur seiring dengan pemindahan ibu kota negara masjid baru ini diharapkan dapat menampung hingga jemaah dan dijadwalkan dapat digunakan pada
803,tinggal ente buka saja sendiri apa dasar uu ikn nngapain ente nyuruh ane ane bukan seperti anies yg mau disuruh suruh mak banteng ogah
804,coba kamu itu prihatinlah sedikit akan keadaan bangsa ini mungkin soal proyek ikn yg kalo diteruskan akan bikin melarat rakyat cobalah berhenti jadi buzzer murahan pro mulyono mikir ya sukardiyahya
805,istiqlal punya nilai sejarah yg tinggi tak kalah pentingnya dg masjid ikn kalo jadi dipelopori amp dibangun pd zaman presiden ri pasca kemerdekaan hrsnya sih status istiqlal sbg masjid negara jgn diubah yg di ikn sebut saja masjid raya ikn gitu
806,progres pembangunan gedung mensesneg di ikn
807,terkini dari bandara ikn pantauan landasan hingga ke jembatan pulau bal lewat youtube
808,kgn nyetir di ikn
809,jadi pemberantasan judl sampai mana ini ya udah sampai ujungnya belum perputaran angka triliunan yg hampir setara dengan anggaran pembangunan ikn lho mindset persepsi masyarakat sedang dihajar terus ini
810,laporan ini keren sekali membongkar warisan ugalugalan pembangunan ikn ala jokowi
811,menteri dody sebut lelang gedung legislatif dan yudikatif di ikn bakal dilakukan kuartal i
812,kapan prabowo berkantor di ikn ini kata menteri pu
813,ada yg bisa posting photo ko disi ikn hari ini
814,dukung ikn nusantara
815,dukung ikn nusantara
816,dukung ikn nusantara
817,lanjut ekonomi lg nyungsep kronis ikn lanjut
818,bukan ini ya salah satu alasan di bangun ikn
819,berita ikn koq sepi ya ada updatenya pak agusyudhoyono
820,buka artikel terbaru di sekarang kamu akan diajak berkeliling ke berbagai daerah yang menopang pembangunan ikn berbagai cerita dikombinasikan dengan peta yang akan memudahkan kita untuk melihat seperti apa warisan si raja jawa
821,helikopter dari hari lalu sibuk bener ini di langit iknbppikn gw rasa
822,teringatnya kok ga ada yg ngantor di ikn ya
823,jokowi klaim sudah banyak investor masuk ke ikn dusta besar di balik janji manis
824,atap oke sekarang ganti facade kok kepikiran pake material copper ya kyk gedung garuda di ikn
825,berat banget ya masih sore bahasannya udah dana ikn samacksamakk
826,emak sope urung eruh iki mungkin sedino iso x bulan tanpa nyapo oleh bayar kyo mas mas korporat
827,baru awal bulan baru juga minggu pertama sudah aja kali jatoh yang pertama banget pas tanggal jatoh di tengah hutan pas ikutan trail running trus yang kedua baru aja ini jatoh dari motor gegara ban tekeliway lewatin jalanan abis hujan macam ikn pas mau balik ke mess
828,ikn sumber masalah perekonomian indo sekarang kocak
829,sekarang kalian paham kan kenapa ikn dibikin jauh biar tiiittt
830,td ade ank ikn cuci kote ps tu kote die keras trs aku pegangdie diam je apa lg kasi on lhhuhu
831,presiden prabowo harus copot kapolri kalau mau pengusutan judi online penembakan anggota fpi sampai mati di km tambang blok medan hasil penebangan hutan seluas ikn kayunya di jual kemanadan msh byk lagi penjahat negara yg harus di tangkap dan di adili
832,akan kah ikn menjadi hambalang jilid ii
833,daerah sekitar ikn nasibmu kini mengkhawatirkan akibat dampak pembangunan
834,lengah dikit tiba tiba agustus ikut papa ke ikn ya what the hell
835,ikn klo difoto gini elah jelek bet itu garuda besi
836,just reminder jangan percaya sama orang yang gak pernah ke ikn lewat jalur darat
837,intinya jangan mau ikn
838,klu yg kita bau bakal pindah ke ikn asfgsgs
839,but this whole thing got me thinking bayangin kalo pusat pemerintahan beneran di ikn literally di antah berantah apa yang bisa kita lakukan kalau tibatiba ada kejadian kayak gini coba penduduk lokal yang di sana juga gak dikasih akses buat masuk ke ikn we are fucked
840,optimalkan zis jokowi dukung baznas ri berkantor di ikn
841,semoga setelah ini ada jawa tengah bali lombok atau ikn dan tetep seru
842,medan sering kena banjir juga apa ga mau ikut pindah ke ikn aja
843,sekarang ngerti kan kenapa pak mul ngebet bikin ikn sampe apbn kita defisit ngerti dong masa engga
844,ikn terkini update jalan bebas hambatan segmen c dan titik nol nusant lewat youtube
845,pindah ke ikn mksdnya
846,pekerja proyek di ikn nusantara ditemukan tewas terungkap riwayat korban sebelum meninggal iknnusantara death employment employees economics employee indonesian crimewatch polisi police policeofficer law
847,potret kehidupan rakyat yang uangnya lebih penting buat ikn dan krtcepat drpd memperbaiki kehidupan rakyatnya rezim zolim itu konon dipimpin oleh yg mengaku bernama mulyono
848,seret dan adili jokowi dan anteknya yg terlibat ikn ke prngadilan
849,tvr komisi vii dpr ri perjelas roadmap hilirisasi nikel di ikn
850,berarti kayak mindahin ibukota ke ikn ga sih
851,tolong kabel ipadku ketinggalan subuh ini mau ke ikn
852,dari akses aja udh dibatasin ga cuma depan gerbang aja yg dipagerin tinggi itu sebrang jalannya juga dipagerin beton kalo mo nyebrang mesti lewat jpo yg sempit ini pun kondisi di jakarta ya gimna di ikn nanti makin untouchable
853,ini pesan terbuka untuk para pemimpin negeri ini dari rakyat sepaku ikn yang saat ini terdampak banjir alam yang marah karena kita memperlakukan alam dengan semenamena
854,wow hasil kerja mulyono katanya pindah dari jakarta biar bebas banjir di ikn eh nyata nya kampung seputar ikn malah kelelep
855,colokin nih ke moncong tsamaradki sales ikn biar melek cc jokowi prabowo
856,sudah saatnya pemkot dki invest buat bikin giant kipas angin gak sih arahin ke ikn saja nanti wkwk
857,mau tanya presiden indonesia sekrg ngantor dan terima tamu negara dah d ikn belom sih cumananya
858,gue pernah ngobrol sm supir taksi kayaknya kalo area itu dibuat kebun kelapa sawit malah lebih nguntungin drpd jadi ikn
859,ikn diisi ruang terbuka hijau karna lu bikinnya di hutan yang awalnya ruang terbuka hijau goblok
860,direktur utama pt pln persero darmawan prasodjo mengatakan pembangkit listrik tenaga surya plts berkapasitas megawatt mw di ibu kota nusantara ikn akan commissioning pada desember darmawan memastikan listrik di ikn akan menggunakan energi baru terbarukan
861,memang itu tujuannya kan dibangun ikn biar sulit diakses rakyat
862,ini akibat dari penebangan pohon pemusnahan hutan utk ikn jokowi
863,daripada bebusa ngejelasin ikn coba dengan cara guaaa tunjukiiinn ikn sudah jadiii dan siappp huniiiii
864,tau btl ikn tinggal di ikn kah emang mba tsamara
865,selain mengusik ekosistem gambut di hutanhutan kalimantan khususnya kaltim ikn juga bentuk authoritarianism gedung dpr di jakarta nggak aksesibel buat demo apalagi di ikn pihakpihak yang you know siapa cenderung kontra ke warga sipil yang emang berhak demo atas kebijakan
866,di jakarta aja terbilang ga ideal buat evakuasi apalagi di ikn nanti gedung dpr itu di kipp ga jauh dari istana kantor kementerian dan rumah dinas menteri siapa yang mau demo kalo lokasi di situ rakjel tinggalnya jelas bukan di kipp
867,menteri pekerjaan umum pu dody hanggodo mengajukan penambahan anggaran tahun untuk proyek ibu kota nusantara ikn sebesar rp triliun
868,warga pemaluan akan terima dana jalan tol ikn total rp miliar
869,fokus bangun ikn dan dob papua menteri pu minta tambahan dana rp triliun
870,nahhh ini yang aku paling ga suka dari ikn li bayangin kantor pemerintahan jauh dari aksesibilitas warganya dulu ui yang dipindah dari jakarta ke depok sekarang kantor pemerintahnya yang dipindah makinnnn makinna cem mana kalau mau ada demo
871,semua poin emang dangkal bgt better para influencer ikn minta brief baru buat disampaikan karena ini gampang bgt dipatahkan sedikit saran drpd ngejual kenapa pindah better ngejual soal benefitnya kalau pindah
872,yaudah sana buru pindah ra ke ikn
873,hore masjid ikn bisa digunakan salat idul fitri
874,lha nek misal tenan dipindah neng ikn njur sopo seng gelem rapat darurat koyo ngene yo
875,pemerintah prabowogibran akan mampu menjadikan ikn sebagai kota masa depan yang tidak hanya modern tetapi juga mnyaman huni dan ramah lingkungan ibukotanusantara ikn sukseskanpembangunanikn
876,wamen pu terowongan perlintasan satwa di ikn wujudkan infrastruktur berkelanjutan bnetwork
877,cuma perlu waktu bulan utk membangun basilika di ikn seluruh dunia kalah ini intermezzo
878,wamen diana tinjau terowongan perlintasan satwa di tol akses ikn ini pesannya
879,kalau indo ada kejadian gini terus pemerintahan di ikn kebayang ga tuh lokasinya aja jauh masyarakat mau demo bakal lebih susah man ngeri banget ini negara
880,inilah kondisi ikn saat ini warisan ambisius jokowi
881,yauda kapan dong username lu ganti jadi tsamara ikn
882,pemerintah presiden prabowo memiliki kesempatan besar untuk melanjutkan dan memperkuat arah pembangunan ikn ibukotanusantara ikn sukseskanpembangunanikn
883,progres pembangunan masjid ikn capai persen target tutup atap akhir desember ibukotanusantara ikn sukseskanpembangunanikn
884,apbn habis untuk bangun ikn sementara di pelosok kalimantan barat jalannya masih seperti ini pak prabowo
885,nah ini astaghfirullaah bulan lalu w ke ikn dan akses kesana tuh subhanallaaah gmn rakyat mau ngawasi
886,nih org minimal pny malu lah jgn jd penjilat tsamaradki kalo lu emg bener sales ikn pny dong rumah disana sekalian tinggal jg jd warganet bisa lihat sikon asli nya ga cm ngmg begini semua org juga bisa jd sales
887,wamen diana tinjau pembangunan masjid negara ikn bisa untuk shalat idul fitri
888,semua yg kyk gini bakal sulit terjadi kalo gedung dpr dan pemerintah pusat ada di ikn
889,yth helmifelis ketahuilah sebagian besar warga dayak di kalimantan setuju dan mendukung ikn dengan mengatakan sbg dayak medsos anda sma saja telah merendahkan martabat org dayak anda harus bertanggung jawab tkasih
890,mindahin kantor dari blue house ke gedung baru wkwk yoon suk yeol beneran kembaran mulyono yang mindahin ibu kota ke ikn yang jadi beban apbn
891,iya sayang project ikn
892,seluruh kepala daerah tersandera politik dana desa oleh rezim boneka oligarki tinggal pegang remote pengusiran pribumi di psn ikn dilegalkan suara pemilu di kerahkan kepala desa masih belum merasa terjajah
893,ikn makin semarak
894,begini ya cara pemerintahan mulyono memaksa rakyat menjual tanahnya demi ambisi ikn pintu airnya ditutup yg menciptakan banjir bg masyarakat sepaku dan tanah mrk belum jg dibayar sadis ga sih
895,kalo mo bikin ikn as kota yg berelasi antar ruang ya mending baikin aja dulu jalan trans kalimantan sekali kali dah ke kembang janggut jalan masuk kesana lewat jembatan kayu yang muat satu mobil doang
896,menteri pu tanggul laut raksasa dan ikn masuk program quick wins
897,ikn apa kabar
898,wamen pu diana kusumastuti tinjau terowongan perlintasan satwa di tol akses ikn breaking news
899,loh ya itu bangun ikn
900,airnya malah ikut ke ikn jadi banjir di jakarta dipindahin ke ikn gitu
901,pak jokowi hayo blusukan ke ikn disana warga berdampak kebanjiran mana bansos mu jgn hanya pilpres dan pilkada musim bansos
902,fafifu jualan ikn sebagai kota masa depan tapi nggak mau tinggal di sana wkwkwk itu kayak kamu presentasi mengenai diet yang ampuh buat punya body goals sementara badan kamu sendiri kayak truk molen alias ra mashoook
903,kota masa depan noh liat meikarta ikn otw tuh
904,warga pemaluan akan terima dana jalan tol ikn total rp miliar
905,program pak jokowi ikn program pak prabowo makan siang gratis persamaannya sama program yang berpotensi defisit dan ngutang ke negara lain dan surplus buat kaum atas
906,belum apaapa wilayah ikn sudah diterjang banjir
907,bangun terowongan perlintasan satwa liar di tol ikn wamen pu upaya pelestarian dan jaga ekosistem
908,eek kuda sono buruan ditempatin katanya kota yg sekarang keburu rusak dan pembangunan ikn keburu mahal
909,jokowi dukung baznas berkantor di ikn klaim sudah banyak investor masuk
910,ikn ibu kota nusantara semakin menjadi pusat perhatian global negaranegara seperti rusia uea dan malaysia mulai membuka peluang besar untuk investasi di sini dengan dukungan kebijakan pemerintah ikn siap membawa indonesia ke tingkat internasional ikn investasiglobal
911,indonesia punya candi baru candi ikn
912,mana nich celeng katanya pindah dari jkt biar bebas banjir di ikn nyata nya kampung seputar ikn malah kelelep
913,ikn adalah kota masa depan tidak sporadis pertanyaannya kapan lu tsamaradki tingal di sana jadi marketing ikn jangan nanggungnanggung dong
914,berangkat bareng tgl ke ikn ke bogor balik jkt tgl balik jkt hari ini tgl balik lg ke bogor lusa tgl inilah alasan pingin resign ini msh untung site ku di bogor kalo jauh kapan kita lovey doveynya hihi
915,welcome to the ikn mangkrak
916,gak balik ke jabar kang ridwankamil atau ke ikn gitu kan kurator lin
917,sekali lg jgn percaya omongan org yg pergi ke ikn gak lewat jalur darat
918,ini ikn apa kabar yak
919,ikn itu bangke barang rongsokan sisa manusia nafsu besar tenaga kurang nafsu siapa ya si mulyono jika mangkrak sebaiknya pekerja bototcari barang bekas dari sabang to maroke presiden mulyono intruksikan pd mendagri agar tkang botot bisa memilih barang yg bisa di jual
920,koordinasi dengan otorita ikn menko ahy pembangunan ikn ke depan fokus tuntaskan pusat pemerintahan
921,rekayasa rezim rekayasa suara pilpres rekayasa bansos rekayasa judol rekayasa kcic rekayasa ikn rekayasa ijasah rekayasa kepalsuan paket komplit
922,pembangunan masjid negara ikn di kalimantan timur terus dikebut masjid itu rencananya akan digunakan untuk salat idul fitri tahun geser ke samping untuk melihat potretnya gtgt detikfinance pembangunan ikn masjid idulfitri
923,pemimpin bangsat sesudah terbukti salah masih saja dia timpakan kesalahan pada rakyat bajingan september jokowi berbohong ikn bukan keputusan rakyat tapi ambisi pribadinya gantungmatijokowidodo gantungmatijokowidodo
924,ikn bukan hanya impian indonesia tapi peluang besar bagi dunia dengan berbagai investasi asing yang mengalir indonesia semakin dekat dengan masa depan yang berkelanjutan semua sektor mulai bergerak siap mendukung prabowogibran dalam mewujudkan visi ikn investasi
925,aku tu dr dulu pengen salty kenapa di ikn ada arsitektur yang bukan dibangun sama arsitek ya mungkin itu melambangkan banyak orang yang bukan pada tempatnya
926,pembangkit listrik tenaga surya plts berkapasitas mw di ikn nusantara akan commission ing pada desember ketahananenergi kemandirianenergi energibaruterbarukan astacita
927,maho sojo terkuat akan meledekan ikn dengan sihirnya
928,jokowi dukung baznas untuk berkantor di ikn guna optimalisasi zis
929,ise kabar taka halo sobatrbpnppu pada rabu lalu rapat koordinasi pembahasan permohonan persetujuan kesesuaian kegiatan pemanfaatan ruang pkkpr untuk kegiatan penyusunan dokumen lingkungan hidup jalan bebas hambatan ikn akses jalan bandara vvip digelar di jakarta
